customer_tweet_id,customer_text,customer_text_clean,candidate_intent,similarity,human_intent,difficulty,notes
2797118,@AmazonHelp Hola! Son vendidos directamente por Amazon.,Hola! Son vendidos directamente por Amazon.,RANDOM,,,,
1222599,@115821 seriously disappointed in your lack of security. My account was hacked and nobody is in a hurry to help me :(,seriously disappointed in your lack of security. My account was hacked and nobody is in a hurry to help me :(,ACCOUNT_SECURITY,0.7399022579193115,,,
376282,@AmazonHelp I was ordered 2 no’s above item but I received only one short buy yesterday https://t.co/AmZ1uxwd0I,I was ordered 2 no’s above item but I received only one short buy yesterday,WRONG_ITEM_RECEIVED,0.5764381885528564,,,
1087661,@AmazonHelp https://t.co/8aZ3NUAScP. 🤘🤘,🤘🤘,RANDOM,,,,
2972777,今更ながらアマゾンビデオで動画ダウンロードしておけば外でも通信量なしで観れるの気づいたので、昼休みとか利用してアニメ観よう。まずはメイドインアビス,今更ながらアマゾンビデオで動画ダウンロードしておけば外でも通信量なしで観れるの気づいたので、昼休みとか利用してアニメ観よう。まずはメイドインアビス,RANDOM,,,,
233785,@AmazonHelp Tracking on Canada Post says delivered on the 29th. Not updated on Amazon though.,Tracking on Canada Post says delivered on the 29th. Not updated on Amazon though.,DELIVERY_TRACKING,0.5526468753814697,,,
314242,@115850 Pathetic service! Its been 10 days to receive my order still cash back isn't received. No call connect in Customer Care,Pathetic service! Its been 10 days to receive my order still cash back isn't received. No call connect in Customer Care,CASHBACK,0.6557906270027161,,,
2856569,"@AmazonHelp hola! Hice un pedido de dos artículos, uno en preventa y otro fuera de stock, he cancelado el del stock y creo que el de preventa también pero ese no quería cancelarlo. Me dice que se está preparando la cancelación pero quiero  volvero a pedir, cuando podré?","hola! Hice un pedido de dos artículos, uno en preventa y otro fuera de stock, he cancelado el del stock y creo que el de preventa también pero ese no quería cancelarlo. Me dice que se está preparando la cancelación pero quiero volvero a pedir, cuando podré?",ORDER_CANCELLATION,0.7365665435791016,,,
236254,@AmazonHelp V r talking abt Mumbai- r u saying dt largest e-commerce player can't deliver products in a metro city like Mumbai? Contd..,V r talking abt Mumbai- r u saying dt largest e-commerce player can't deliver products in a metro city like Mumbai? Contd..,RANDOM,,,,
250577,"shiiiiit I love how amazon is like, “the delivery driver is 5 minutes away from your house” 

they’re most consistent than the girls I’ve talked to","shiiiiit I love how amazon is like, “the delivery driver is 5 minutes away from your house” they’re most consistent than the girls I’ve talked to",RANDOM,,,,
2929564,"@115850 where is my order? Tracking details not updated for last 12 hrs guaranteed to be delivered today
@AmazonHelp",where is my order? Tracking details not updated for last 12 hrs guaranteed to be delivered today,DELIVERY_TRACKING,0.5512573719024658,,,
